,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000165475,6.7083282,1.6169761,large,small,3.020688299386037,2.306447751801266e-27
ENSG00000104368,3.135571,3.1036117,mid,small,5.769243492586481,5.102184910161385e-65
ENSG00000006282,1.2171096,0.49085182,mid,small,2.697594510510233,3.76601249083174e-86
ENSG00000187688,3.3488178,1.5759703,mid,small,2.872034011907205,2.214897054116016e-05
ENSG00000250240,14.931683,0.6604352,large,small,5.7989769270896145,0.018663459187259968
ENSG00000106546,10.841255,1.0237864,large,small,2.6988156118294344,3.1145228239720485e-66
ENSG00000107611,9.312128,1.3534716,large,small,4.088177975569561,9.59243934123939e-14
ENSG00000275074,7.6490674,2.652339,large,small,3.4712298776932013,2.0679450228695264e-28
ENSG00000127124,18.257214,0.4076107,large,small,4.832242784863394,2.091189884621963e-87
ENSG00000166888,1.6972729,0.9836921,mid,small,2.4082561061525953,4.548569800215199e-78
ENSG00000223403,5.505295,1.2648425,large,small,7.0913449581966335,1.5591884570436326e-06
ENSG00000081189,10.576551,1.0926175,large,small,3.1067284789691554,4.286535508829827e-14
ENSG00000171488,18.929502,0.5586503,large,small,2.130040992387781,1.829235578046859e-11
ENSG00000106153,3.5752184,0.43096134,mid,small,2.3000430243384247,7.331149052172341e-89
ENSG00000151067,6.3302703,0.90491605,large,small,2.968823970426868,1.1027927536089934e-27
ENSG00000104325,3.477341,2.7087333,mid,small,2.0491774658136714,2.8609286822821296e-36
ENSG00000137076,1.4914992,1.6300137,mid,small,2.757371536977625,1.8094910423199096e-150
ENSG00000250305,7.6143727,2.413487,large,small,5.738474880462305,3.544353008360332e-61
ENSG00000106397,2.2909372,0.9755153,mid,small,2.4065827682498235,9.252198325476868e-46
ENSG00000188662,5.4572945,1.5512947,large,small,4.17537433869782,0.00011730402019276078
ENSG00000156860,2.8336651,0.54525733,mid,small,2.611238531113528,3.508639819097344e-78
ENSG00000170545,5.5433106,1.6065784,large,small,2.3909422701368577,9.859795678738848e-29
