,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
114,WNT5A-dependent Internalization of FZD4,0.1122028547603005,0.4318395586572912,1/15,19.732800726782376,PRKCA,0.006329113924050633,1,H1ESC
115,p130Cas Linkage to MAPK Signaling for Integrins,0.1122028547603005,0.4318395586572912,1/15,19.732800726782376,BCAR1,0.006329113924050633,1,H1ESC
116,Depolymerization of the Nuclear Lamina,0.1122028547603005,0.4318395586572912,1/15,19.732800726782376,PRKCA,0.006329113924050633,1,H1ESC
117,ERBB2 Regulates Cell Motility,0.1122028547603005,0.4318395586572912,1/15,19.732800726782376,NRG3,0.006329113924050633,1,H1ESC
118,Response of EIF2AK1 (HRI) to Heme Deficiency,0.1122028547603005,0.4318395586572912,1/15,19.732800726782376,CHAC1,0.006329113924050633,1,H1ESC
119,RHOA GTPase Cycle,0.1142202174101072,0.4359404964485758,3/149,5.66499858370431,PREX2;RHPN2;ARHGAP23,0.0189873417721519,3,H1ESC
120,PI3K Events in ERBB2 Signaling,0.1192217052176752,0.443931227558498,1/16,17.90551070727026,NRG3,0.006329113924050633,1,H1ESC
121,Regulation of KIT Signaling,0.1192217052176752,0.443931227558498,1/16,17.90551070727026,PRKCA,0.006329113924050633,1,H1ESC
122,GRB2 Events in ERBB2 Signaling,0.1192217052176752,0.443931227558498,1/16,17.90551070727026,NRG3,0.006329113924050633,1,H1ESC
123,ECM Proteoglycans,0.1212503927123214,0.4478441924374451,2/76,7.225996878675474,LAMA5;LAMA1,0.012658227848101266,2,H1ESC
124,SUMOylation of DNA Damage Response and Repair Proteins,0.1238672037171693,0.4538494344197085,2/77,7.057140762851793,PHC1;CBX2,0.012658227848101266,2,H1ESC
125,Removal of the Flap Intermediate From the C-strand,0.1261854138763246,0.455062358703596,1/17,16.337530968323282,TERF1,0.006329113924050633,1,H1ESC
126,Trafficking of GluR2-containing AMPA Receptors,0.1261854138763246,0.455062358703596,1/17,16.337530968323282,PRKCA,0.006329113924050633,1,H1ESC
127,Signaling by MET,0.1291414666449607,0.4583251152329735,2/79,6.735918696382554,LAMA5;LAMA1,0.012658227848101266,2,H1ESC
128,Pre-NOTCH Processing in Golgi,0.133094411192108,0.4583251152329735,1/18,14.979771069640403,NOTCH3,0.006329113924050633,1,H1ESC
129,Formation of Definitive Endoderm,0.133094411192108,0.4583251152329735,1/18,14.979771069640403,CDH1,0.006329113924050633,1,H1ESC
130,Gastrin-CREB Signalling Pathway via PKC and MAPK,0.133094411192108,0.4583251152329735,1/18,14.979771069640403,PRKCA,0.006329113924050633,1,H1ESC
131,Lewis Blood Group Biosynthesis,0.133094411192108,0.4583251152329735,1/18,14.979771069640403,FUT2,0.006329113924050633,1,H1ESC
132,Metabolism of Amine-Derived Hormones,0.133094411192108,0.4583251152329735,1/18,14.979771069640403,TPH2,0.006329113924050633,1,H1ESC
133,Plasma Lipoprotein Assembly,0.1399491242511414,0.4678591161096553,1/19,13.79456000709556,APOC1,0.006329113924050633,1,H1ESC
134,Processive Synthesis on the C-strand of the Telomere,0.1399491242511414,0.4678591161096553,1/19,13.79456000709556,TERF1,0.006329113924050633,1,H1ESC
135,Glycosphingolipid Biosynthesis,0.1399491242511414,0.4678591161096553,1/19,13.79456000709556,FUT2,0.006329113924050633,1,H1ESC
136,VEGFR2 Mediated Cell Proliferation,0.1399491242511414,0.4678591161096553,1/19,13.79456000709556,PRKCA,0.006329113924050633,1,H1ESC
137,Integrin Cell Surface Interactions,0.1452629641686231,0.4700104153663441,2/85,5.888052693795782,COL18A1;CDH1,0.012658227848101266,2,H1ESC
138,Cellular Senescence,0.1460483465934078,0.4700104153663441,3/167,4.467767367768163,PHC1;CBX2;TERF1,0.0189873417721519,3,H1ESC
139,Apoptotic Factor-Mediated Response,0.1467499768501904,0.4700104153663441,1/20,12.752541783227706,UACA,0.006329113924050633,1,H1ESC
140,Defective B3GALT6 Causes EDSP2 and SEMDJL1,0.1467499768501904,0.4700104153663441,1/20,12.752541783227706,SDC4,0.006329113924050633,1,H1ESC
141,Defective B3GAT3 Causes JDSSDHD,0.1467499768501904,0.4700104153663441,1/20,12.752541783227706,SDC4,0.006329113924050633,1,H1ESC
142,"Defective B4GALT7 Causes EDS, Progeroid Type",0.1467499768501904,0.4700104153663441,1/20,12.752541783227706,SDC4,0.006329113924050633,1,H1ESC
143,Apoptosis,0.1478956609870071,0.4703903661947866,3/168,4.411452405822538,CDH1;MAPT;UACA,0.0189873417721519,3,H1ESC
144,SUMO E3 Ligases SUMOylate Target Proteins,0.1516131225986258,0.4718241905376312,3/170,4.3015697223473985,PHC1;CBX2;DNMT3B,0.0189873417721519,3,H1ESC
145,CD209 (DC-SIGN) Signaling,0.1534973894980503,0.4718241905376312,1/21,11.83052535242725,RPS6KA5,0.006329113924050633,1,H1ESC
146,Formation of the Ureteric Bud,0.1534973894980503,0.4718241905376312,1/21,11.83052535242725,EYA1,0.006329113924050633,1,H1ESC
147,Inactivation of APC C via Direct Inhibition of the APC C Complex,0.1534973894980503,0.4718241905376312,1/21,11.83052535242725,BUB1B,0.006329113924050633,1,H1ESC
148,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,0.1534973894980503,0.4718241905376312,1/21,11.83052535242725,BUB1B,0.006329113924050633,1,H1ESC
149,Diseases of Metabolism,0.1568012010004956,0.473340870879606,4/264,3.624482482636712,NOTCH3;CHST6;SDC4;ADAMTS17,0.02531645569620253,4,H1ESC
150,NPAS4 Regulates Expression of Target Genes,0.1601917794461548,0.473340870879606,1/22,11.009964677714818,RBFOX3,0.006329113924050633,1,H1ESC
151,Blood Group Systems Biosynthesis,0.1601917794461548,0.473340870879606,1/22,11.009964677714818,FUT2,0.006329113924050633,1,H1ESC
152,ERK MAPK Targets,0.1601917794461548,0.473340870879606,1/22,11.009964677714818,RPS6KA5,0.006329113924050633,1,H1ESC
153,Signaling by ERBB2 TMD JMD Mutants,0.1601917794461548,0.473340870879606,1/22,11.009964677714818,NRG3,0.006329113924050633,1,H1ESC
