,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
36,TNFR2 Non-Canonical NF-kB Pathway,0.002802768848737,0.0614310167350981,6/88,27.015030611393335,CD40;TNFRSF8;CD27;TNFSF9;MAP3K14;BIRC3,0.015748031496062992,6,GM12878
37,"Nucleotide-binding Domain, Leucine Rich Repeat Containing Receptor (NLR) Signaling Pathways",0.0028295498617378,0.0614310167350981,5/61,32.8497992673291,PSTPIP1;NOD2;NFKB1;BIRC3;MAP2K6,0.013123359580052493,5,GM12878
38,MAP Kinase Activation,0.0032582113310519,0.0678475980496445,5/63,30.951400571826095,MEF2C;RPS6KA5;NOD2;NFKB1;MAP2K6,0.013123359580052493,5,GM12878
39,"Platelet Activation, Signaling and Aggregation",0.0032895805114979,0.0678475980496445,11/262,15.85782312695954,APBB1IP;PRKCH;SYK;PRKCE;GNG7;PLCG2;RHOG;CSK;PTPN6;PIK3R6;PIK3R5,0.028871391076115485,11,GM12878
40,FLT3 Signaling Through SRC Family Kinases,0.0036238588797207,0.0679473539947646,2/6,174.99146699804606,HCK;SYK,0.005249343832020997,2,GM12878
41,RUNX3 Regulates Immune Response and Cell Migration,0.0036238588797207,0.0679473539947646,2/6,174.99146699804606,ITGAL;RUNX3,0.005249343832020997,2,GM12878
42,Toxicity of Botulinum Toxin Type D (botD),0.0036238588797207,0.0679473539947646,2/6,174.99146699804606,SV2C;SV2B,0.005249343832020997,2,GM12878
43,Toxicity of Botulinum Toxin Type F (botF),0.0036238588797207,0.0679473539947646,2/6,174.99146699804606,SV2C;SV2B,0.005249343832020997,2,GM12878
44,CD209 (DC-SIGN) Signaling,0.0042825143533885,0.0785127631454576,3/21,56.73651814322573,RPS6KA5;ICAM3;NFKB1,0.007874015748031496,3,GM12878
45,Interferon Gamma Signaling,0.0050151597248865,0.0899457994137261,6/99,21.449428449002124,CIITA;IRF4;PTAFR;PTPN6;TRIM22;HLA-DRB1,0.015748031496062992,6,GM12878
