,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000164181,19.145742,0.18424082,mid,small,2.6219710339518603,4.734454924136062e-22
ENSG00000144749,4.049139,0.8610246,mid,small,2.7331099465657,5.224645212506694e-262
ENSG00000120896,5.4032717,0.88098997,mid,small,5.476741917438301,1.0819231613177009e-166
ENSG00000133026,10.132678,0.36151078,large,small,7.11969285714047,0.0
ENSG00000111664,3.1371274,2.3240833,mid,small,4.691120379365217,2.0446990658322023e-26
ENSG00000065717,5.3172593,0.34776562,large,small,4.557029079112623,1.279816194478607e-28
ENSG00000138670,19.81177,0.23061664,mid,small,3.849085350566472,8.780828834806681e-13
ENSG00000141401,1.0304939,0.4947782,mid,small,2.583873409513278,1.0548156548126878e-133
ENSG00000157933,7.344694,1.1306186,mid,small,2.2793528922668376,4.1690257257657676e-216
ENSG00000185052,3.6005988,0.9359107,large,small,8.864886462060197,6.672163463559524e-10
ENSG00000061337,12.083396,2.4182022,mid,small,12.265816460260412,2.4481883318760407e-06
ENSG00000155269,5.168403,3.5933564,mid,small,9.02197009794317,0.0005149415967279344
ENSG00000264164,5.5266633,0.7228783,large,small,4.002658793268623,8.750058778054636e-08
ENSG00000182963,8.656432,0.8601258,large,small,5.816895145436276,0.0
ENSG00000257150,7.299249,2.542988,mid,small,8.21210475341113,0.001524247438533677
ENSG00000185942,13.7134285,1.2787766,large,small,2.899901165273185,0.024650782795747096
ENSG00000035862,10.020646,0.6871814,large,small,5.790990759510722,1.0424452157713351e-163
ENSG00000146267,5.4374123,0.19569978,mid,small,8.674146407466344,3.7871081329546585e-17
ENSG00000149054,17.84124,0.2350766,large,small,2.584954595552017,3.657969092622662e-44
ENSG00000116544,10.632468,1.9139633,mid,small,5.646643480437057,2.346082180330529e-61
ENSG00000166123,2.5066357,0.94888616,mid,small,3.4763112664232994,2.7640892461194647e-272
ENSG00000152284,11.668504,0.32450053,mid,small,10.10114195017643,7.312276378788031e-75
ENSG00000140470,1.5742371,0.59534866,mid,small,3.0288737176653657,1.067444003431404e-07
ENSG00000077616,7.345209,0.2015585,large,small,6.728161602498741,1.871736420322594e-10
ENSG00000130208,4.342861,0.52164197,large,small,4.462053584863996,7.387449127646834e-32
ENSG00000196781,7.559614,2.7180567,mid,small,8.78971465341356,2.333886024068153e-117
ENSG00000170293,13.261574,0.7352766,mid,small,7.0081604676677705,2.6145584776992823e-11
ENSG00000104635,2.4804108,1.8252301,mid,small,2.3842915206781448,0.0
ENSG00000137177,17.034342,0.22893676,large,small,6.637695686794104,3.5010233781155573e-178
ENSG00000248587,8.650616,8.604123,mid,small,7.213208673660032,0.005023417116692696
ENSG00000103742,3.8290143,0.7734844,large,small,4.452078158068399,7.773302245738551e-67
ENSG00000102935,1.8921438,0.28191474,mid,small,7.130539553685021,1.114232163233541e-208
ENSG00000104112,8.94031,0.32920688,large,small,11.262657804093694,4.044980021908197e-15
ENSG00000196724,9.778751,0.34506622,large,small,4.012155916583601,4.388671878699124e-59
ENSG00000050165,8.858669,0.72400093,large,small,6.517489194562259,4.099444370075295e-55
ENSG00000173068,28.183577,0.029134894,mid,small,5.395484085458725,5.197397237594639e-123
ENSG00000083307,2.3372297,0.21949558,mid,small,8.186127937145026,4.3564432627875314e-68
ENSG00000147596,3.9309084,0.30945665,mid,small,10.21682241151866,8.814274289650037e-45
ENSG00000088002,8.157335,0.7464312,large,small,2.501800524373802,0.0074476516783621
ENSG00000164855,3.734149,0.7754343,mid,small,3.3768611813803306,3.897010886647428e-07
ENSG00000141447,9.89534,0.31387648,large,small,8.592547924946969,7.516499747105836e-83
ENSG00000124092,7.5842347,1.0116044,large,small,2.0211280008534542,0.003343389645382277
ENSG00000169814,8.611703,2.541957,mid,small,2.0030470478341837,1.0173657066426857e-27
ENSG00000186094,4.004927,3.612401,mid,small,5.3952776034374015,0.027014847790116706
ENSG00000164742,16.340527,1.1016247,mid,small,5.312576197744032,4.269433207812306e-262
ENSG00000124104,3.7192965,0.34611556,large,small,3.7906135568921213,5.567756685602813e-50
ENSG00000117245,4.188512,1.8837836,mid,small,6.715609538786397,3.825229281827354e-31
ENSG00000175274,2.2270691,0.79608065,mid,small,7.079882430520048,2.3564882294226772e-108
ENSG00000134042,0.92265147,0.94185835,mid,small,5.205779454960122,2.3792096081494553e-06
ENSG00000011028,4.838825,0.56450033,large,small,4.595090974485804,9.610679520604841e-141
ENSG00000188818,7.7056756,3.2970407,mid,small,4.538398725104243,4.824935187175046e-31
ENSG00000105641,2.0078256,0.4735152,mid,small,4.013590444655398,6.944426155484994e-09
ENSG00000018869,1.9654614,0.7838062,mid,small,2.292147660409991,2.662974079730687e-07
ENSG00000157557,1.2604132,0.359202,mid,small,2.0012443623281326,2.0357542271221432e-83
