Experiment,Jump set,Gene count,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Phosphate Bond Hydrolysis by NUDT Proteins,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,NUDT18,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,DEx H-box Helicases Activate Type I IFN and Inflammatory Cytokines Production,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX3 Regulates CDKN1A Transcription,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Release of Apoptotic Factors From the Mitochondria,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,GSDME,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Erythropoietin Activates Phospholipase C Gamma (PLCG),0.0751705491112806,0.309949798390349,1/7,38.58963208510021,PLCG2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,IkBA Variant Leads to EDA-ID,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Mitochondrial Uncoupling,0.0751705491112806,0.309949798390349,1/7,38.58963208510021,UCP2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RET Signaling,0.0758561158058039,0.3106488552047208,2/41,11.866023683090129,DOK1;PIK3CD,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulation of Beta-Cell Development,0.0790856021748956,0.3212757711383244,2/42,11.381758186999576,KAT2B;HNF1B,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,mRNA Editing C to U Conversion,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,APOBEC3H,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Binding of TCF LEF CTNNB1 to Target Gene Promoters,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Biosynthesis of Maresins,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX3 Regulates WNT Signaling,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX3 Regulates YAP1-mediated Transcription,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulation of NFE2L2 Gene Expression,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulation of Gene Expression in Early Pancreatic Precursor Cells,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,HNF1B,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Formation of the Editosome,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,APOBEC3H,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-18 Signaling,0.0854397312230043,0.3212757711383244,1/8,31.43862560059154,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,TP53 Regulates Transcription of Cell Death Genes,0.0856701503889249,0.3212757711383244,2/44,10.49703509424871,AIFM2;TP73,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Intra-Golgi Traffic,0.0856701503889249,0.3212757711383244,2/44,10.49703509424871,CYTH4;CYTH1,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Uptake and Actions of Bacterial Toxins,0.0856701503889249,0.3212757711383244,2/44,10.49703509424871,SV2C;SV2B,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Phospholipid Metabolism,0.0865673612428765,0.3212757711383244,5/211,5.356516960115819,PIK3CD;PLAAT2;PIK3R6;AGPAT3;PIK3R5,0.02066115702479339,5
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,FCGR Activation,0.0869899513215064,0.3212757711383244,3/94,7.23692895763795,FGR;HCK;SYK,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,MITF-M-dependent Gene Expression,0.0869899513215064,0.3212757711383244,3/94,7.23692895763795,IRF4;DPF3;RAB27A,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-10 Signaling,0.0924134065883659,0.3252951233613197,2/46,9.709956574849388,FCER2;PTAFR,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Mitochondrial Protein Degradation,0.0934653252385818,0.3252951233613197,3/97,6.798939554806649,CHCHD2;OXSM;HTRA2,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activated NTRK2 Signals Through RAS,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activation of PUMA and Translocation to Mitochondria,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,TP73,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Nef and Signal Transduction,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,HCK,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Atorvastatin ADME,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,SLCO2B1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,DOK1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,SAA1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Synthesis of 5-Eicosatetraenoic Acids,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-1 Processing,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-9 Signaling,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,JAK3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Microbial Modulation of RIPK1-mediated Regulated Necrosis,0.0955953947216404,0.3252951233613197,1/9,26.25150316945336,MLKL,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,P75 NTR Receptor-Mediated Signalling,0.0956669471492545,0.3252951233613197,3/98,6.660949772642674,FGD3;ARHGEF3;NFKB1,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Heme Signaling,0.09584136660804,0.3252951233613197,2/47,9.348502313656695,MEF2C;CRTC3,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Hemostasis,0.0961836079041776,0.3252951233613197,12/707,3.6738149640638262,APBB1IP;FGR;PRKCH;SYK;STIM1;PRKCE;PLCG2;RHOG;PTPN6;ITGAL;PIK3R6;PIK3R5,0.049586776859504134,12
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RNA Polymerase I Transcription Initiation,0.0993052296189675,0.3339762470984272,2/48,9.006359605052252,KAT2B;CHD3,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Anti-inflammatory Response Favouring Leishmania Parasite Infection,0.1012701939731977,0.3364791044645567,4/159,5.3194373268469,FGR;HCK;SYK;PLCG2,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Leishmania Parasite Growth and Survival,0.1012701939731977,0.3364791044645567,4/159,5.3194373268469,FGR;HCK;SYK;PLCG2,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,mRNA Editing,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,APOBEC3H,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activation of Ca-permeable Kainate Receptor,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,NCALD,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX3 Regulates p14-ARF,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulation of FOXO Transcriptional Activity by Acetylation,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,KAT2B,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Glucocorticoid Biosynthesis,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,POMC,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-21 Signaling,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,JAK3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,"Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage and Regulation",0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,GCH1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Ionotropic Activity of Kainate Receptors,0.1056387886109654,0.3364791044645567,1/10,22.340556874848694,NCALD,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity,0.1099002430842217,0.3482102438773763,2/51,8.082602362969642,POMC;TFEB,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Apoptotic Execution Phase,0.1134958343709223,0.3539026294634013,2/52,7.805075243452119,DBNL;GAS2,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activated NTRK2 Signals Through FRS2 and FRS3,0.1155711482921785,0.3539026294634013,1/11,19.301698248715223,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Androgen Biosynthesis,0.1155711482921785,0.3539026294634013,1/11,19.301698248715223,POMC,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RHO GTPases Activate KTN1,0.1155711482921785,0.3539026294634013,1/11,19.301698248715223,RHOG,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulated Proteolysis of p75NTR,0.1155711482921785,0.3539026294634013,1/11,19.301698248715223,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Transport of Organic Anions,0.1155711482921785,0.3539026294634013,1/11,19.301698248715223,SLCO2B1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Role of Phospholipids in Phagocytosis,0.1163998681623811,0.3539026294634013,3/107,5.57341168895459,SYK;PRKCE;PLCG2,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Stimuli-sensing Channels,0.1163998681623811,0.3539026294634013,3/107,5.57341168895459,MLKL;TRPV3;MCOLN2,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Apoptosis,0.1174648981341859,0.3553460737526629,4/168,4.6996700508775495,DBNL;GAS2;GSDME;TP73,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activation of NF-kappaB in B Cells,0.1207761236138671,0.3564276276033996,2/54,7.289711108065602,REL;NFKB1,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Adipogenesis,0.123656560215964,0.3564276276033996,3/110,5.264019113408958,NCOA3;CHD3;NFKB1,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,PI3K AKT Signaling in Cancer,0.123656560215964,0.3564276276033996,3/110,5.264019113408958,NTRK2;RHOG;PIK3CD,0.012396694214876033,3
