,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000246640,2.1345599,1.8728715,small,mid,-2.718161361578275,0.0008352529225394383
ENSG00000166780,2.40687,2.8843744,small,mid,-6.295423677610066,9.578480882007914e-48
ENSG00000167772,1.6755458,3.7783065,small,large,-6.618696763135988,1.8831029581933921e-10
ENSG00000175356,0.565557,2.7510574,small,mid,-2.3012430238631687,0.0010786725472236157
ENSG00000118473,1.8134345,6.685793,small,large,-9.561080100564128,6.481022989521724e-36
ENSG00000182240,1.618556,79.154396,small,large,-6.187433442570484,1.016524733335027e-18
ENSG00000153904,0.49226978,31.849878,small,large,-10.315716591112627,1.0396710925725574e-201
ENSG00000151208,1.8005724,11.028871,small,large,-3.2016520989896713,8.484135061083911e-172
ENSG00000121440,2.2825358,20.797417,small,large,-7.8465319159323705,3.9419272434699704e-53
ENSG00000156113,0.8195597,6.298403,small,large,-2.2585948667984965,1.0159678511499844e-17
ENSG00000174945,1.1599588,1.2004634,small,mid,-2.6190671475078804,2.7952730587472483e-18
ENSG00000225648,2.2336,3.5925806,small,mid,-2.024034230372256,6.05269387888185e-22
ENSG00000181982,0.8712975,1.7147909,small,mid,-10.009608759163246,7.329632323909382e-12
ENSG00000188554,1.5187413,9.20188,small,large,-2.349439177066984,1.0677800338862793e-60
ENSG00000162522,0.6547035,7.4852386,small,large,-3.4189439517375453,4.665658407990235e-14
ENSG00000136928,1.1672946,13.583261,small,large,-7.294784460209952,4.74776168769489e-20
ENSG00000115310,0.9072494,6.172946,small,large,-2.863337968556639,1.2737951492687217e-97
ENSG00000074219,1.3220415,7.6031575,small,large,-6.976241843040282,1.9996369281291328e-46
ENSG00000185340,0.8094534,2.2272937,small,mid,-8.415226352795326,4.9590407240449934e-68
ENSG00000170190,2.2622733,3.7417054,small,large,-2.7641427652777413,1.469536279226796e-26
ENSG00000158109,1.6360321,2.3298283,small,mid,-2.65674781253355,5.0122723783867675e-77
ENSG00000182963,1.3056254,8.681779,small,large,-4.66614418726316,2.4892686270626195e-119
ENSG00000175505,1.3186638,1.1692803,small,mid,-2.9894159352735157,2.902121134089157e-28
ENSG00000165152,0.80436647,7.7407727,small,large,-9.122831154490997,2.1830235691387985e-42
ENSG00000138814,1.6362575,12.267795,small,large,-4.898202545843009,3.850061293257423e-170
ENSG00000236130,1.6749525,2.896444,small,mid,-7.322815254058756,0.007342741551287109
ENSG00000116678,0.73083574,1.0548888,small,mid,-3.8827425790342964,1.585367131891154e-42
ENSG00000255197,0.74148005,2.5232236,small,mid,-3.1043980843862484,0.02755180964415725
ENSG00000034152,1.5607538,3.9995685,small,large,-2.4794298190445385,1.561559972039006e-66
ENSG00000142627,1.2425643,2.5658002,small,mid,-7.900752558450245,1.4183566869454977e-202
ENSG00000168615,0.33193743,2.1755517,small,mid,-3.4490253151830874,1.626608447255706e-156
ENSG00000253837,2.2164629,9.754326,small,large,-2.0309567050704502,0.00027006612065557804
ENSG00000149256,0.9238671,8.682771,small,large,-9.223212955453619,1.6600006465080226e-57
ENSG00000163513,0.39884296,19.867271,small,large,-7.575633125423248,1.1821355409845099e-175
ENSG00000139926,0.21273012,19.62152,small,large,-6.861568546469737,5.919466382355756e-229
ENSG00000125430,1.4810094,2.9452198,small,mid,-7.47650736529153,6.808273223773287e-77
ENSG00000177303,2.139511,1.5178212,small,mid,-4.181874324032971,1.3344102834506242e-94
ENSG00000156011,1.1829102,77.88509,small,large,-3.083308248339505,3.743527483090534e-52
ENSG00000183963,2.2005122,5.5578117,small,large,-3.7924222601589395,7.647993352060403e-74
ENSG00000115594,1.480418,4.8083386,small,large,-4.886435725911573,9.161230716031923e-65
ENSG00000166920,1.4836316,2.618627,small,mid,-3.1710240544535533,0.002140844329329563
ENSG00000198053,1.3876586,1.1740725,small,mid,-2.1078089938364504,6.941547426673939e-26
ENSG00000111305,1.8081104,16.474924,small,large,-6.5841462864904035,0.014684665343054416
ENSG00000099822,2.0935395,2.7894454,small,mid,-2.6465448160760414,9.529837313478391e-17
ENSG00000149948,1.1668236,12.3406,small,large,-7.751780967923025,3.5020293700722005e-120
ENSG00000167617,2.277138,2.763029,small,mid,-5.1769811810071635,9.982042751685484e-61
ENSG00000138311,1.3972288,14.468686,small,large,-8.904420340650091,1.9231765686141758e-17
ENSG00000230074,2.010356,1.203191,small,mid,-3.3744813178881854,2.3364748334105062e-08
ENSG00000173838,0.8638182,15.254314,small,large,-4.469039892942498,0.00012933992701679397
ENSG00000139324,0.38947156,6.812721,small,large,-2.9978032721337984,2.702012620024499e-119
ENSG00000171150,1.8077446,9.987066,small,large,-4.191681106506626,1.5967162387864961e-240
ENSG00000124942,1.8768921,1.9385148,small,mid,-2.8135299136143446,2.3575855252517254e-61
ENSG00000138119,0.5592746,0.8169697,small,mid,-10.15320131881185,0.0
ENSG00000080573,2.1087546,4.9474144,small,large,-3.770658149330525,1.163420214587338e-16
ENSG00000142156,0.5766176,2.3586528,small,mid,-8.639744787580133,0.0
ENSG00000282556,1.5502601,1.6140056,small,mid,-2.297700710681005,0.03423771057527401
ENSG00000261253,0.26196423,2.3930864,small,mid,-3.624522849564652,0.001729857457437351
ENSG00000168386,2.7310846,2.412417,small,mid,-3.7095508170541036,3.300183499363657e-105
ENSG00000136205,1.4250581,15.666198,small,large,-5.197246057908298,1.0485476367429804e-128
