##########################################################################################
# with mids (small -> mid/large)
##########################################################################################

==========================================================================================
GM12878 small vs H1ESC mid/large   (242 genes, 602 reactome terms)
==========================================================================================
  Unblocking of NMDA Receptors, Glutamate Binding and Activation	(FDR=0.448)
  Bacterial Infection Pathways	(FDR=0.453)
  Diseases of Programmed Cell Death	(FDR=0.455)
  Vesicle-mediated Transport	(FDR=0.455)
  Blood Group Systems Biosynthesis	(FDR=0.455)
  Regulation of TLR by Endogenous Ligand	(FDR=0.455)
  ERK MAPK Targets	(FDR=0.455)
  SHC1 Events in ERBB2 Signaling	(FDR=0.455)
  RNA Polymerase I Promoter Clearance	(FDR=0.456)
  G Alpha (12 13) Signalling Events	(FDR=0.463)
  G Alpha (Q) Signalling Events	(FDR=0.463)
  Suppression of Phagosomal Maturation	(FDR=0.463)
  Long-term Potentiation	(FDR=0.463)
  RNA Polymerase I Transcription	(FDR=0.463)
  Senescence-Associated Secretory Phenotype (SASP)	(FDR=0.463)
  Other Interleukin Signaling	(FDR=0.472)
  CD28 Dependent PI3K Akt Signaling	(FDR=0.472)
  G-protein Activation	(FDR=0.472)
  Glutamate Neurotransmitter Release Cycle	(FDR=0.472)
  Growth Hormone Receptor Signaling	(FDR=0.472)
  Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	(FDR=0.472)
  Transcriptional Regulation of White Adipocyte Differentiation	(FDR=0.475)
  RUNX1 Regulates Transcription of Genes Involved in Differentiation of HSCs	(FDR=0.475)
  Integrin Cell Surface Interactions	(FDR=0.475)
  NOTCH3 Intracellular Domain Regulates Transcription	(FDR=0.475)
  Signaling by NTRK2 (TRKB)	(FDR=0.475)
  Inflammasomes	(FDR=0.475)
  Insulin Processing	(FDR=0.475)
  Metabolism of Cofactors	(FDR=0.475)
  Peptide Hormone Metabolism	(FDR=0.48)
  Endogenous Sterols	(FDR=0.48)
  HDMs Demethylate Histones	(FDR=0.48)
  Synthesis of IP3 and IP4 in the Cytosol	(FDR=0.48)
  Interleukin-20 Family Signaling	(FDR=0.48)
  Translocation of ZAP-70 to Immunological Synapse	(FDR=0.48)
  Miscellaneous Transport and Binding Events	(FDR=0.48)
  Death Receptor Signaling	(FDR=0.481)
  Protein-protein Interactions at Synapses	(FDR=0.484)
  Pre-NOTCH Expression and Processing	(FDR=0.487)
  Cardiogenesis	(FDR=0.487)
  Pyroptosis	(FDR=0.487)
  Regulation of RUNX1 Expression and Activity	(FDR=0.487)
  RAB GEFs Exchange GTP for GDP on RABs	(FDR=0.49)
  Downstream TCR Signaling	(FDR=0.49)
  Notch-HLH Transcription Pathway	(FDR=0.49)
  Peroxisomal Lipid Metabolism	(FDR=0.49)
  Platelet Calcium Homeostasis	(FDR=0.49)
  Keratan Sulfate Biosynthesis	(FDR=0.49)
  Metabolism of Porphyrins	(FDR=0.49)
  Chromatin Modifying Enzymes	(FDR=0.49)
  Chromatin Organization	(FDR=0.49)
  Protein Localization	(FDR=0.49)
  Post-translational Modification Synthesis of GPI-anchored Proteins	(FDR=0.49)
  Cellular Responses to Mechanical Stimuli	(FDR=0.49)
  Response of Endothelial Cells to Shear Stress	(FDR=0.49)
  Signaling by ALK Fusions and Activated Point Mutants	(FDR=0.49)
  Signaling by ALK in Cancer	(FDR=0.49)
  Myogenesis	(FDR=0.49)
  Acyl Chain Remodelling of PE	(FDR=0.49)
  The Role of Nef in HIV-1 Replication and Disease Pathogenesis	(FDR=0.49)
  Oxidative Stress Induced Senescence	(FDR=0.493)
  Class B 2 (Secretin Family Receptors)	(FDR=0.493)
  Cellular Senescence	(FDR=0.495)
  Activation of BH3-only Proteins	(FDR=0.495)
  Activation of Kainate Receptors Upon Glutamate Binding	(FDR=0.495)
  Regulation of TP53 Activity Through Acetylation	(FDR=0.495)
  Intracellular Signaling by Second Messengers	(FDR=0.495)
  Antigen processing-Cross Presentation	(FDR=0.495)
  Mitochondrial Biogenesis	(FDR=0.495)
  Nicotinate Metabolism	(FDR=0.495)
  FOXO-mediated Transcription of Oxidative Stress, Metabolic and Neuronal Genes	(FDR=0.495)
  Transcriptional Regulation of Brown and Beige Adipocyte Differentiation	(FDR=0.495)
  Transcriptional Regulation of Brown and Beige Adipocyte Differentiation by EBF2	(FDR=0.495)
  MAPK Targets Nuclear Events Mediated by MAP Kinases	(FDR=0.495)
  Turbulent Flow Shear Stress Activates Signaling by PIEZO1 and Integrins in Endothelial Cells	(FDR=0.495)
  Metalloprotease DUBs	(FDR=0.495)
  Metabolism of Nucleotides	(FDR=0.5)
  Nuclear Signaling by ERBB4	(FDR=0.504)
  Regulation of Necroptotic Cell Death	(FDR=0.504)
  Amino Acid Transport Across the Plasma Membrane	(FDR=0.514)
  Glucagon-type Ligand Receptors	(FDR=0.514)
  RIPK1-mediated Regulated Necrosis	(FDR=0.524)
  Diseases of Carbohydrate Metabolism	(FDR=0.524)
  Negative Regulators of DDX58 IFIH1 Signaling	(FDR=0.531)
  Oncogene Induced Senescence	(FDR=0.531)
  Diseases Associated With the TLR Signaling Cascade	(FDR=0.531)
  Diseases of Immune System	(FDR=0.531)
  Cargo Recognition for Clathrin-Mediated Endocytosis	(FDR=0.532)
  Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects	(FDR=0.532)
  RHO GTPases Activate WASPs and WAVEs	(FDR=0.532)
  Signaling by NOTCH2	(FDR=0.532)
  Signaling by High-Kinase Activity BRAF Mutants	(FDR=0.532)
  Striated Muscle Contraction	(FDR=0.532)
  Keratan Sulfate Keratin Metabolism	(FDR=0.532)
  Metabolism of Steroid Hormones	(FDR=0.532)
  Metabolism of Lipids	(FDR=0.534)
  Disease	(FDR=0.534)
  RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known	(FDR=0.536)
  Evasion by RSV of Host Interferon Responses	(FDR=0.536)
  Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation	(FDR=0.536)
  RNA Polymerase II Transcription	(FDR=0.539)
  Diseases of Mitotic Cell Cycle	(FDR=0.545)
  Regulation of Endogenous Retroelements	(FDR=0.549)
  Chromatin Modifications During the Maternal to Zygotic Transition (MZT)	(FDR=0.549)
  Response of Mtb to Phagocytosis	(FDR=0.549)
  Glycosphingolipid Catabolism	(FDR=0.549)
  Synthesis of PA	(FDR=0.549)
  RHOU GTPase Cycle	(FDR=0.558)
  MAP2K and MAPK Activation	(FDR=0.558)
  Signaling by NTRK1 (TRKA)	(FDR=0.562)
  DAG and IP3 Signaling	(FDR=0.562)
  Defective Pyroptosis	(FDR=0.562)
  Signaling by RAF1 Mutants	(FDR=0.562)
  Transcriptional Regulation by VENTX	(FDR=0.562)
  Developmental Biology	(FDR=0.563)
  NCAM1 Interactions	(FDR=0.567)
  EPHB-mediated Forward Signaling	(FDR=0.567)
  Formation of WDR5-containing Histone-Modifying Complexes	(FDR=0.567)
  Peptide Ligand-Binding Receptors	(FDR=0.567)
  Metabolism of Vitamins and Cofactors	(FDR=0.567)
  PIP3 Activates AKT Signaling	(FDR=0.567)
  Aspirin ADME	(FDR=0.567)
  Assembly and Cell Surface Presentation of NMDA Receptors	(FDR=0.567)
  Transport of Vitamins, Nucleosides, and Related Molecules	(FDR=0.567)
  Voltage Gated Potassium Channels	(FDR=0.567)
  Collagen Chain Trimerization	(FDR=0.573)
  Estrogen-dependent Gene Expression	(FDR=0.573)
  Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF	(FDR=0.573)
  Regulation of RUNX3 Expression and Activity	(FDR=0.573)
  ERCC6 (CSB) and EHMT2 (G9a) Positively Regulate rRNA Expression	(FDR=0.573)
  Signaling by RAS Mutants	(FDR=0.573)
  Signaling by Moderate Kinase Activity BRAF Mutants	(FDR=0.573)
  Signaling Downstream of RAS Mutants	(FDR=0.573)
  TBC RABGAPs	(FDR=0.573)
  Muscle Contraction	(FDR=0.573)
  Class I MHC Mediated Antigen Processing & Presentation	(FDR=0.576)
  NIK-->noncanonical NF-kB Signaling	(FDR=0.576)
  PKMTs Methylate Histone Lysines	(FDR=0.576)
  Interleukin-12 Signaling	(FDR=0.576)
  Kidney Development	(FDR=0.576)
  Epigenetic Regulation of Gene Expression	(FDR=0.579)
  Cyclin D Associated Events in G1	(FDR=0.581)
  G1 Phase	(FDR=0.581)
  Signaling by NOTCH	(FDR=0.582)
  Metabolism of Water-Soluble Vitamins and Cofactors	(FDR=0.585)
  NOTCH1 Intracellular Domain Regulates Transcription	(FDR=0.585)
  Inositol Phosphate Metabolism	(FDR=0.585)
  Glycerophospholipid Biosynthesis	(FDR=0.585)
  GPCR Ligand Binding	(FDR=0.585)
  Dectin-1 Mediated Noncanonical NF-kB Signaling	(FDR=0.588)
  Retrograde Transport at the Trans-Golgi-Network	(FDR=0.588)
  Signaling by NOTCH3	(FDR=0.588)
  Cardiac Conduction	(FDR=0.59)
  Signaling by ERBB2	(FDR=0.594)
  Gene Expression (Transcription)	(FDR=0.596)
  Neurotransmitter Release Cycle	(FDR=0.599)
  Nonhomologous End-Joining (NHEJ)	(FDR=0.599)
  Signaling by NTRKs	(FDR=0.603)
  COPI-independent Golgi-to-ER Retrograde Traffic	(FDR=0.603)
  Proteasome Assembly	(FDR=0.603)
  Epigenetic Regulation by WDR5-containing Histone Modifying Complexes	(FDR=0.605)
  Signaling by EGFR	(FDR=0.609)
  Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell	(FDR=0.613)
  SARS-CoV-1 Activates Modulates Innate Immune Responses	(FDR=0.613)
  Ion Homeostasis	(FDR=0.613)
  SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses	(FDR=0.613)
  Regulation of RAS by GAPs	(FDR=0.614)
  Signaling by Non-Receptor Tyrosine Kinases	(FDR=0.614)
  Signaling by PTK6	(FDR=0.614)
  Ion Transport by P-type ATPases	(FDR=0.614)
  MAPK Family Signaling Cascades	(FDR=0.616)
  Interleukin-12 Family Signaling	(FDR=0.619)
  G Alpha (I) Signalling Events	(FDR=0.619)
  Chemokine Receptors Bind Chemokines	(FDR=0.619)
  Regulation of Actin Dynamics for Phagocytic Cup Formation	(FDR=0.619)
  Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	(FDR=0.619)
  Constitutive Signaling by NOTCH1 PEST Domain Mutants	(FDR=0.619)
  SUMOylation of Chromatin Organization Proteins	(FDR=0.619)
  Signaling by ERBB4	(FDR=0.619)
  Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	(FDR=0.619)
  Signaling by NOTCH1 PEST Domain Mutants in Cancer	(FDR=0.619)
  Signaling by NOTCH1 in Cancer	(FDR=0.619)
  Glycosphingolipid Metabolism	(FDR=0.619)
