,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,contrasted_with
ENSG00000048740,20.794418,0.059210125,large,small,GM12878
ENSG00000163513,6.0926213,0.39884296,mid,small,GM12878
ENSG00000162618,12.932964,3.975276,mid,small,GM12878
ENSG00000177303,1.5151219,2.0778446,mid,small,GM12878
ENSG00000173068,28.183577,0.14725204,mid,small,GM12878
ENSG00000230969,1.105436,0.7683546,mid,small,GM12878
ENSG00000170545,2.822355,1.5831764,mid,small,GM12878
ENSG00000073712,2.268584,0.30913273,mid,small,GM12878
ENSG00000231105,7.4139333,1.2636532,mid,small,GM12878
ENSG00000072134,12.515721,1.8988141,large,small,GM12878
ENSG00000222005,9.987066,1.8077446,mid,small,GM12878
ENSG00000110436,3.1132832,0.9407108,mid,small,GM12878
ENSG00000150281,2.5203261,1.9311552,mid,small,GM12878
ENSG00000154027,12.718943,2.2199595,mid,small,GM12878
ENSG00000142156,2.3586528,0.5766176,mid,small,GM12878
ENSG00000251442,3.0626976,3.3940222,mid,small,GM12878
ENSG00000157933,7.344694,1.5085778,mid,small,GM12878
ENSG00000282556,1.6126934,1.5502601,mid,small,GM12878
ENSG00000077782,9.436304,0.5016585,mid,small,GM12878
ENSG00000261253,2.3930864,0.26196423,mid,small,GM12878
ENSG00000165929,5.018494,1.1215949,large,small,GM12878
ENSG00000168952,5.8336596,0.45441115,large,small,GM12878
ENSG00000137269,4.854415,2.2530777,mid,small,GM12878
ENSG00000109680,20.533075,1.9003215,mid,small,GM12878
ENSG00000136205,15.666198,1.4250581,mid,small,GM12878
ENSG00000137834,2.4815607,0.27759746,mid,small,GM12878
ENSG00000257345,3.1024349,1.4224135,mid,small,GM12878
ENSG00000124104,3.7192965,1.1370658,large,small,GM12878
ENSG00000206634,8.657202,3.1546721,mid,small,GM12878
ENSG00000280239,4.3404255,1.6308494,large,small,GM12878
ENSG00000162599,4.535944,5.198938,mid,small,GM12878
ENSG00000167995,1.4952879,0.60840124,mid,small,GM12878
ENSG00000146197,3.8747263,4.235105,mid,small,GM12878
ENSG00000175170,1.9039384,1.2651087,mid,small,GM12878
ENSG00000087303,8.094201,0.57585835,large,small,GM12878
ENSG00000127920,4.721726,0.58256173,mid,small,GM12878
ENSG00000157578,40.09488,1.5948219,large,small,GM12878
ENSG00000278941,1.5904095,1.8771664,mid,small,GM12878
ENSG00000156535,7.2576985,3.6011295,mid,small,GM12878
ENSG00000158089,6.5739856,3.2608635,mid,small,GM12878
ENSG00000116675,5.47302,2.7038639,mid,small,GM12878
ENSG00000124635,3.3934603,2.8176663,mid,small,GM12878
ENSG00000237638,5.1579876,2.505394,mid,small,GM12878
ENSG00000189045,9.461736,0.13352048,mid,small,GM12878
ENSG00000062582,8.356565,3.2875144,mid,small,GM12878
ENSG00000104695,1.8709662,1.888127,mid,small,GM12878
ENSG00000136425,1.7786206,0.43787068,mid,small,GM12878
ENSG00000272620,3.894591,3.9766989,mid,small,GM12878
ENSG00000101150,1.4607009,1.6426369,mid,small,GM12878
ENSG00000105711,6.149604,0.657614,large,small,GM12878
ENSG00000244165,0.97199094,0.2680683,mid,small,GM12878
ENSG00000237172,1.985272,1.5025764,mid,small,GM12878
ENSG00000076067,2.9242203,1.996042,mid,small,GM12878
ENSG00000125089,4.744737,2.4011064,mid,small,GM12878
ENSG00000170899,2.2000475,0.563405,mid,small,GM12878
ENSG00000108370,1.992224,0.9876197,mid,small,GM12878
ENSG00000180481,1.7914914,0.6509226,mid,small,GM12878
ENSG00000139200,1.953648,1.084471,mid,small,GM12878
ENSG00000146592,2.5927649,0.43638742,mid,small,GM12878
ENSG00000232453,5.8065243,0.17274123,mid,small,GM12878
ENSG00000185532,9.825694,0.488198,large,small,GM12878
ENSG00000236200,9.537446,2.6786187,mid,small,GM12878
ENSG00000117245,4.188512,1.2223425,mid,small,GM12878
ENSG00000279819,2.176127,0.20258099,mid,small,GM12878
ENSG00000184305,40.944588,3.692895,mid,small,GM12878
ENSG00000131242,1.1261927,1.0377629,mid,small,GM12878
ENSG00000112655,5.239177,0.51716727,mid,small,GM12878
ENSG00000273824,2.3446937,0.3714553,mid,small,GM12878
ENSG00000284693,4.479928,3.7926552,mid,small,GM12878
ENSG00000175352,3.9317124,1.4063556,mid,small,GM12878
ENSG00000074657,5.0281887,1.5009154,large,small,GM12878
ENSG00000245080,4.3793287,4.045725,mid,small,GM12878
